0	1	2	3	4	5	6
67		216	3	1		
67		223	4	1		
67		225	3	2		
67		227	2	0		
67		231	3	1		
67		234	2	1		
67		248	1	1		
67		249	4	5		
67		252	3	1		
67		253	4	3		
67		257	3	0		
67		266	3	2		
67		280	2	2		
67		281	4	1		
67		288	2	6		
67		315	0	0		
67		316	3	0		
67		317	2	1		
67		318	4	6		
67		329	3	0		
67		333	2	1		
67		454	2	2		
67		457	3	0		
68		125	4	1		
68		154	4	2		
68		235	4	5		
68		337	4	2		
68		457	3	0		
69		17	3	2		
69		25	1	2		
69		32	3	7		
69		50	2	6		
69		110	2	0		
69		318	3	6		
70		318	2	6		
70		454	2	2		
71		10	2	0		
71		110	4	0		
71		153	2	0		
71		165	2	0		
71		185	2	0		
71		208	2	0		
71		253	2	3		
71		288	3	6		
71		316	2	0		
71		329	2	0		
72		10	3	0		
72		165	3	0		
72		225	3	2		
72		329	0	0		
72		454	4	2		
72		457	4	0		
73		6	4	0		
73		16	2	5		
73		17	3	2		
73		25	2	2		
73		32	2	7		
73		45	3	1		
73		47	3	2		
73		50	4	6		
73		162	2	10		
73		223	4	1		
73		235	3	5		
73		246	4	10		
73		281	2	1		
73		318	3	6		
73		319	3	6		
73		457	2	0		
74		186	3	1		
74		277	3	11		
74		315	3	0		
75		32	3	7		
75		110	3	0		
75		160	1	0		
75		163	3	0		
75		165	3	0		
76		1	3	4		
76		9	3	0		
76		10	3	0		
76		20	2	0		
76		21	1	1		
76		47	3	2		
76		71	3	0		
76		110	4	0		
76		153	2	0		
76		161	4	0		
76		165	3	0		
76		168	4	0		
76		185	3	0		
76		204	4	0		
76		208	2	0		
76		227	3	0		
76		231	2	1		
76		315	3	0		
76		316	2	0		
76		318	2	6		
76		329	3	0		
76		457	4	0		
76		474	4	0		
76		494	3	0		
77		1	3	4		
77		2	2	8		
77		7	2	1		
77		10	2	0		
77		19	2	8		
77		45	3	1		
77		47	3	2		
77		70	2	0		
77		71	2	0		
77		93	2	1		
77		110	3	0		
77		123	2	2		
77		153	3	0		
77		160	2	0		
77		163	4	0		
77		165	2	0		
77		170	2	1		
77		188	2	0		
77		193	2	2		
77		195	2	1		
77		196	3	0		
77		199	2	2		
77		218	2	1		
77		225	2	2		
77		229	2	2		
77		230	2	6		
77		231	0	1		
77		232	3	1		
77		235	3	5		
77		252	2	1		
77		253	2	3		
77		257	2	0		
77		265	3	2		
77		288	3	6		
77		316	2	0		
77		317	2	1		
77		319	3	6		
77		330	2	3		
77		332	2	3		
77		333	2	1		
77		452	3	1		
77		454	2	2		
77		457	3	0		
77		491	3	2		
77		495	2	2		
78		17	3	2		
78		29	3	9		
78		32	4	7		
78		82	3	1		
78		110	2	0		
78		162	3	10		
78		198	1	0		
78		223	3	1		
78		235	3	5		
78		314	3	2		
78		318	3	6		
78		327	2	0		
78		468	2	1		
79		11	2	1		
79		21	2	1		
79		25	3	2		
79		32	4	7		
79		47	2	2		
79		50	4	6		
79		151	2	0		
79		159	2	2		
79		161	2	0		
79		162	4	10		
79		194	3	1		
79		205	2	1		
79		215	3	2		
79		223	2	1		
79		225	2	2		
79		231	2	1		
79		235	2	5		
79		246	3	10		
79		266	2	2		
79		281	3	1		
79		288	2	6		
79		318	3	6		
79		319	2	6		
79		322	3	1		
79		337	2	2		
79		454	2	2		
79		457	2	0		
79		471	3	1		
79		474	1	0		
79		475	3	5		
80		19	2	8		
80		50	3	6		
80		110	3	0		
80		151	3	0		
80		161	2	0		
80		165	2	0		
80		168	2	0		
80		193	2	2		
80		204	2	0		
80		208	2	0		
80		216	1	1		
80		223	3	1		
80		225	3	2		
80		231	2	1		
80		234	1	1		
80		235	3	5		
80		257	2	0		
80		288	2	6		
80		316	2	0		
80		318	3	6		
80		333	2	1		
80		457	3	0		
81		266	4	2		
81		454	2	2		
82		253	1	3		
83		1	2	4		
83		5	2	1		
83		21	2	1		
83		62	2	2		
83		102	2	1		
83		104	2	1		
83		135	2	1		
83		158	2	1		
83		223	2	1		
83		235	3	5		
83		281	2	1		
83		317	2	1		
83		457	2	0		
84		1	2	4		
84		5	2	1		
84		7	2	1		
84		17	3	2		
84		25	1	2		
84		32	2	7		
84		62	3	2		
84		494	3	0		
85		1	2	4		
85		50	4	6		
85		82	2	1		
85		214	3	2		
85		215	1	2		
85		223	3	1		
85		232	3	1		
86		110	3	0		
86		288	0	6		
86		457	3	0		
87		223	4	1		
88		1	3	4		
88		19	3	8		
88		31	3	5		
88		88	3	1		
88		104	3	1		
88		110	4	0		
88		168	4	0		
88		169	1	8		
88		185	3	0		
88		216	4	1		
88		234	3	1		
88		317	2	1		
88		333	3	1		
88		466	3	1		
89		21	4	1		
89		31	3	5		
89		50	4	6		
89		110	4	0		
89		153	2	0		
89		161	3	0		
89		163	3	0		
89		165	4	0		
89		170	2	1		
89		177	3	3		
89		185	2	0		
89		193	2	2		
89		196	2	0		
89		204	3	0		
89		208	3	0		
89		216	1	1		
89		225	3	2		
89		231	3	1		
89		236	3	1		
89		253	2	3		
89		265	4	2		
89		288	4	6		
89		306	3	2		
89		307	3	2		
89		308	3	1		
89		315	3	0		
89		318	4	6		
89		327	1	0		
89		338	3	0		
90		1	4	4		
90		6	2	0		
90		32	2	7		
90		62	4	2		
90		100	3	2		
90		104	4	1		
90		135	2	1		
90		494	3	0		
91		1	2	4		
91		2	3	8		
91		47	3	2		
91		50	3	6		
91		151	3	0		
91		223	1	1		
91		235	3	5		
91		317	1	1		
91		318	4	6		
91		466	1	1		
92		6	3	0		
92		10	2	0		
92		32	3	7		
92		47	4	2		
92		110	4	0		
92		165	2	0		
92		208	2	0		
92		318	4	6		
92		329	2	0		
92		454	2	2		
92		457	3	0		
93		28	4	2		
94		10	3	0		
94		16	3	5		
94		19	0	8		
94		21	2	1		
94		47	2	2		
94		50	3	6		
94		79	2	2		
94		94	2	1		
94		110	4	0		
94		153	2	0		
94		157	2	1		
94		168	2	0		
94		170	2	1		
94		177	2	3		
94		185	2	0		
94		186	2	1		
94		193	2	2		
94		198	3	0		
94		208	2	0		
94		216	1	1		
94		223	3	1		
94		225	2	2		
94		231	1	1		
94		233	2	2		
94		234	2	1		
94		235	3	5		
94		237	2	1		
94		248	2	1		
94		253	3	3		
94		256	2	1		
94		257	2	0		
94		259	1	0		
94		266	2	2		
94		276	2	1		
94		280	2	2		
94		281	3	1		
94		288	3	6		
94		291	2	2		
94		315	2	0		
94		316	3	0		
94		318	4	6		
94		329	2	0		
94		333	0	1		
94		337	3	2		
94		338	3	0		
94		454	2	2		
94		457	4	0		
94		466	2	1		
94		471	2	1		
94		474	3	0		
94		491	2	2		
95		1	2	4		
95		10	2	0		
95		32	3	7		
95		47	3	2		
95		110	4	0		
95		153	2	0		
95		161	3	0		
95		165	3	0		
95		185	2	0		
95		231	1	1		
95		253	2	3		
95		288	2	6		
95		316	1	0		
95		318	4	6		
95		329	3	0		
95		454	2	2		
95		457	3	0		
96		1	3	4		
96		6	4	0		
96		16	3	5		
96		17	3	2		
96		21	3	1		
96		25	0	2		
96		32	3	7		
96		50	4	6		
96		62	3	2		
96		82	2	1		
96		86	3	8		
96		105	1	2		
96		110	2	0		
96		155	3	0		
96		161	3	0		
96		164	3	0		
96		183	3	3		
96		194	2	1		
96		198	2	0		
96		210	2	0		
96		225	2	2		
96		230	4	6		
96		233	2	2		
96		235	2	5		
96		280	3	2		
96		281	2	1		
96		282	3	2		
96		314	2	2		
96		319	3	6		
96		337	3	2		
96		454	2	2		
96		457	4	0		
96		468	4	1		
96		474	2	0		
96		494	3	0		
97		165	3	0		
98		1	3	4		
98		6	4	0		
98		18	2	1		
98		25	4	2		
98		156	2	1		
99		318	3	6		
100		1	0	4		
100		10	1	0		
100		21	1	1		
100		32	2	7		
100		47	3	2		
100		50	3	6		
100		110	2	0		
100		153	0	0		
100		161	1	0		
100		165	0	0		
100		168	0	0		
100		185	0	0		
100		186	2	1		
100		231	2	1		
100		246	1	10		
100		253	1	3		
100		277	0	11		
100		288	2	6		
100		315	0	0		
100		316	0	0		
100		318	3	6		
100		329	1	0		
100		454	1	2		
100		457	0	0		
100		466	0	1		
100		471	0	1		
101		1	4	4		
101		2	3	8		
101		11	3	1		
101		19	2	8		
101		22	2	6		
101		32	2	7		
101		47	3	2		
101		50	2	6		
101		110	2	0		
101		153	3	0		
101		160	2	0		
101		161	3	0		
101		165	3	0		
101		185	2	0		
101		186	2	1		
101		196	2	0		
101		198	3	0		
101		204	2	0		
101		208	2	0		
101		223	2	1		
101		225	3	2		
101		231	2	1		
101		252	2	1		
101		253	3	3		
101		280	2	2		
101		282	3	2		
101		315	2	0		
101		316	3	0		
101		317	2	1		
101		318	4	6		
101		329	3	0		
101		454	2	2		
101		457	3	0		
101		474	3	0		
102		10	3	0		
102		47	3	2		
102		50	4	6		
102		161	3	0		
102		185	1	0		
102		208	1	0		
102		231	0	1		
102		316	2	0		
102		318	4	6		
102		454	2	2		
102		457	3	0		
103		1	1	4		
103		10	2	0		
103		11	2	1		
103		21	2	1		
103		29	4	9		
103		32	2	7		
103		45	2	1		
103		47	1	2		
103		50	2	6		
103		68	2	1		
103		70	2	0		
103		82	3	1		
103		104	1	1		
103		110	2	0		
103		151	2	0		
103		153	1	0		
103		154	2	2		
103		159	2	2		
103		161	2	0		
103		162	3	10		
103		177	1	3		
103		185	0	0		
103		190	3	2		
103		194	2	1		
103		196	2	0		
103		232	2	1		
103		233	3	2		
103		235	2	5		
103		247	3	5		
103		265	2	2		
103		277	3	11		
103		288	1	6		
103		306	3	2		
103		307	3	2		
103		308	3	1		
103		316	2	0		
103		326	3	2		
103		337	3	2		
103		454	2	2		
103		457	2	0		
103		464	2	0		
103		466	1	1		
103		468	2	1		
103		474	2	0		
103		475	3	5		
103		494	2	0		
104		11	4	1		
104		110	4	0		
104		196	3	0		
104		235	4	5		
104		318	4	6		
104		330	2	3		
105		32	1	7		
105		110	2	0		
106		6	2	0		
106		9	2	0		
106		10	4	0		
106		21	0	1		
106		47	2	2		
106		163	4	0		
106		207	3	2		
106		225	3	2		
106		315	1	0		
106		494	2	0		
107		32	3	7		
107		198	1	0		
107		329	2	0		
108		105	1	2		
108		475	3	5		
110		153	3	0		
110		318	2	6		
110		457	3	0		
111		10	2	0		
111		50	4	6		
111		110	4	0		
111		153	2	0		
111		161	2	0		
111		165	3	0		
111		185	2	0		
111		208	2	0		
111		253	3	3		
111		288	2	6		
111		316	2	0		
111		318	2	6		
111		457	3	0		
112		1	2	4		
112		6	2	0		
112		16	2	5		
112		17	3	2		
112		18	2	1		
112		21	2	1		
112		22	2	6		
112		25	3	2		
112		28	3	2		
112		29	3	9		
112		32	3	7		
112		45	2	1		
112		47	2	2		
112		50	2	6		
112		55	3	2		
112		62	2	2		
112		72	2	1		
112		78	2	2		
112		82	3	1		
112		83	2	2		
112		94	2	1		
112		105	2	2		
112		110	2	0		
112		113	2	6		
112		123	1	2		
112		124	2	2		
112		125	2	1		
112		151	2	0		
112		154	2	2		
112		159	2	2		
112		161	2	0		
112		162	3	10		
112		164	2	0		
112		178	2	2		
112		185	2	0		
112		194	2	1		
112		205	2	1		
112		206	2	10		
112		211	2	2		
112		213	2	2		
112		215	3	2		
112		225	2	2		
112		230	2	6		
112		232	2	1		
112		233	2	2		
112		235	3	5		
112		246	4	10		
112		247	3	5		
112		263	2	2		
112		265	3	2		
112		279	2	2		
112		281	2	1		
112		290	2	6		
112		306	2	2		
112		307	3	2		
112		308	3	1		
112		314	2	2		
112		318	2	6		
112		319	2	6		
112		326	2	2		
112		334	3	1		
112		337	2	2		
112		452	2	1		
112		454	2	2		
112		456	2	6		
112		457	2	0		
112		461	2	2		
112		471	2	1		
112		474	2	0		
112		475	2	5		
112		492	2	1		
113		24	2	2		
113		86	3	8		
113		207	3	2		
114		1	3	4		
114		10	2	0		
115		1	4	4		
115		16	0	5		
115		19	0	8		
115		21	2	1		
115		25	4	2		
115		32	3	7		
115		110	3	0		
115		151	3	0		
115		266	1	2		
115		318	4	6		
115		454	2	2		
116		2	4	8		
116		5	2	1		
116		7	3	1		
116		8	2	8		
116		10	2	0		
116		11	4	1		
116		13	2	4		
116		19	2	8		
116		21	2	1		
116		24	3	2		
116		31	3	5		
116		60	3	11		
116		62	4	2		
116		70	0	0		
116		79	3	2		
116		86	3	8		
116		87	3	1		
116		105	3	2		
116		110	3	0		
116		135	2	1		
116		151	3	0		
116		158	4	1		
116		160	3	0		
116		161	4	0		
116		165	4	0		
116		168	3	0		
116		169	3	8		
116		185	3	0		
116		186	4	1		
116		193	1	2		
116		196	2	0		
116		204	4	0		
116		207	4	2		
116		208	3	0		
116		212	2	8		
116		217	2	2		
116		225	4	2		
116		227	3	0		
116		231	0	1		
116		234	2	1		
116		236	3	1		
116		239	3	4		
116		248	4	1		
116		250	3	1		
116		252	3	1		
116		253	2	3		
116		256	4	1		
116		257	4	0		
116		258	3	8		
116		276	3	1		
116		277	4	11		
116		282	4	2		
116		289	3	1		
116		314	3	2		
116		315	2	0		
116		316	3	0		
116		317	4	1		
116		318	4	6		
116		329	3	0		
116		453	2	1		
116		454	2	2		
116		455	2	8		
116		494	3	0		
117		50	3	6		
117		70	0	0		
117		168	3	0		
117		180	2	1		
118		6	2	0		
118		10	2	0		
118		16	2	5		
118		21	3	1		
118		22	2	6		
118		25	2	2		
118		32	3	7		
118		47	2	2		
118		50	3	6		
118		62	2	2		
118		110	4	0		
118		151	3	0		
118		153	2	0		
118		160	2	0		
118		161	3	0		
118		165	2	0		
118		168	2	0		
118		185	1	0		
118		193	1	2		
118		196	2	0		
118		204	1	0		
118		208	2	0		
118		224	2	1		
118		225	2	2		
118		231	0	1		
118		235	3	5		
118		237	2	1		
118		253	0	3		
118		266	2	2		
118		288	2	6		
118		315	2	0		
118		316	2	0		
118		318	3	6		
118		329	2	0		
118		454	1	2		
118		457	3	0		
118		474	3	0		
119		11	2	1		
119		16	3	5		
119		17	3	2		
119		19	2	8		
119		21	2	1		
119		22	2	6		
119		25	2	2		
119		47	2	2		
119		57	2	1		
119		165	2	0		
119		180	2	1		
119		186	2	1		
119		203	1	1		
119		208	1	0		
119		223	3	1		
119		231	2	1		
119		259	1	0		
119		288	2	6		
119		318	4	6		
119		327	1	0		
119		337	2	2		
119		454	2	2		
119		457	2	0		
119		491	2	2		
120		1	2	4		
120		62	2	2		
120		65	2	1		
120		86	2	8		
120		88	3	1		
120		104	4	1		
120		135	1	1		
120		333	4	1		
121		50	3	6		
121		90	2	2		
121		214	0	2		
121		229	3	2		
121		246	1	10		
121		289	4	1		
121		318	4	6		
121		336	4	2		
121		457	4	0		
122		10	3	0		
122		21	2	1		
122		25	3	2		
122		50	3	6		
122		69	4	1		
122		110	3	0		
122		151	2	0		
122		162	4	10		
122		198	3	0		
122		223	4	1		
122		230	2	6		
122		231	3	1		
122		235	3	5		
122		265	4	2		
122		307	3	2		
122		318	4	6		
122		337	3	2		
122		454	2	2		
122		457	3	0		
122		474	3	0		
122		492	3	1		
123		110	4	0		
124		1	2	4		
124		10	3	0		
124		181	0	0		
124		199	2	2		
124		215	2	2		
124		265	2	2		
124		290	2	6		
124		337	2	2		
124		455	0	8		
125		1	4	4		
125		16	2	5		
125		19	1	8		
125		21	2	1		
125		22	1	6		
125		25	2	2		
125		29	4	9		
125		32	4	7		
125		47	4	2		
125		50	4	6		
125		62	3	2		
125		70	4	0		
